date,state,county,production,birds
2022-02-08,Indiana,Dubois,Commercial Turkey Meat Bird,0
2022-02-12,Kentucky,Fulton,Commercial Broiler Production,200000
2022-02-12,Virginia,Fauquier,WOAH Non-Poultry,0
2022-02-15,Kentucky,Webster,Commercial Turkey Meat Bird,100000
2022-02-16,Indiana,Dubois,Commercial Turkey Meat Bird,0
2022-02-18,New York,Suffolk,WOAH Non-Poultry,0
2022-02-19,Maine,Knox,WOAH Non-Poultry,0
2022-02-22,Delaware,New Castle,Commercial Table Egg Layer,1000000
2022-02-23,Indiana,Greene,Commercial Turkey Meat Bird,0
2022-02-23,Indiana,Greene,Commercial Turkey Meat Bird,0
2022-02-23,Maine,Knox,WOAH Non-Poultry,0
2022-02-23,Michigan,Kalamazoo,WOAH Non-Poultry,0
2022-02-24,Indiana,Dubois,Commercial Turkey Meat Bird,0
2022-02-24,New York,Dutchess,WOAH Non-Poultry,0
2022-02-24,New York,Ulster,WOAH Non-Poultry,0
2022-03-01,Connecticut,New London,WOAH Non-Poultry,0
2022-03-01,Iowa,Pottawattamie,WOAH Non-Poultry,0
2022-03-02,Indiana,Dubois,Commercial Turkey Meat Bird,0
2022-03-04,Maryland,Cecil,Commercial Table Egg Layer,600000
2022-03-04,Missouri,Bates,WOAH Non-Poultry,0
2022-03-04,Missouri,Stoddard,Commercial Broiler Production,300000
2022-03-05,South Dakota,Charles Mix,Commercial Turkey Meat Bird,0
2022-03-06,Iowa,Buena Vista,Commercial Turkey Meat Bird,0
2022-03-08,Delaware,New Castle,Commercial Table Egg Pullets,200000
2022-03-08,Maryland,Queen Anne's,Commercial Broiler Production,100000
2022-03-08,Missouri,Jasper,Commercial Turkey Meat Bird,0
2022-03-09,Missouri,Lawrence,Commercial Turkey Breeder Replacement Hens,0
2022-03-10,Iowa,Taylor,Commercial Table Egg Layer,900000
2022-03-10,Maryland,Cecil,Commercial Table Egg Layer,700000
2022-03-11,Illinois,Mclean,WOAH Non-Poultry,0
2022-03-11,Kansas,Franklin,WOAH Poultry,0
2022-03-12,Maine,Lincoln,WOAH Non-Poultry,0
2022-03-12,South Dakota,Charles Mix,Commercial Turkey Meat Bird,0
2022-03-14,Maine,York,WOAH Non-Poultry,0
2022-03-14,Wisconsin,Jefferson,Commercial Table Egg Layer,2800000
2022-03-15,Missouri,Ralls,WOAH Non-Poultry,0
2022-03-15,Nebraska,Merrick,WOAH Non-Poultry,0
2022-03-16,New Hampshire,Rockingham,WOAH Non-Poultry,0
2022-03-17,Delaware,Kent,Commercial Broiler Production,100000
2022-03-17,Iowa,Buena Vista,Commercial Table Egg Layer,5300000
2022-03-17,Kansas,Sedgwick,WOAH Non-Poultry,0
2022-03-17,Maine,Lincoln,WOAH Non-Poultry,0
2022-03-18,Kansas,Dickinson,WOAH Poultry,0
2022-03-18,Maryland,Cecil,Commercial Table Egg Pullets,300000
2022-03-18,South Dakota,Hanson,Commercial Turkey Meat Bird,0
2022-03-18,South Dakota,Kingsbury,Commercial Turkey Meat Bird,0
2022-03-19,Maine,Knox,WOAH Non-Poultry,0
2022-03-19,Maine,York,WOAH Non-Poultry,0
2022-03-20,Iowa,Warren,WOAH Non-Poultry,0
2022-03-20,South Dakota,Hutchinson,Commercial Turkey Meat Bird,100000
2022-03-22,Maine,Cumberland,WOAH Poultry,0
2022-03-22,Nebraska,Butler,Commercial Broiler Production,600000
2022-03-22,South Dakota,Beadle,Commercial Turkey Meat Bird,0
2022-03-22,South Dakota,Charles Mix,Commercial Turkey Meat Bird,100000
2022-03-22,South Dakota,Hanson,Commercial Turkey Meat Bird,100000
2022-03-23,New York,Suffolk,Commercial Upland Gamebird Producer,0
2022-03-23,South Dakota,Beadle,Commercial Turkey Meat Bird,0
2022-03-23,South Dakota,Edmunds,Commercial Turkey Breeder Hens,0
2022-03-23,South Dakota,Kingsbury,Commercial Table Egg Layer,100000
2022-03-24,Iowa,Buena Vista,Commercial Turkey Meat Bird,100000
2022-03-24,Michigan,Macomb,WOAH Non-Poultry,0
2022-03-24,Nebraska,Butler,Commercial Broiler Production,400000
2022-03-24,South Dakota,Jerauld,Commercial Turkey Meat Bird,0
2022-03-25,Iowa,Franklin,Commercial Table Egg Pullets,300000
2022-03-25,Kansas,Mitchell,WOAH Non-Poultry,0
2022-03-25,New York,Suffolk,WOAH Poultry,0
2022-03-25,South Dakota,Hutchinson,Commercial Turkey Meat Bird,0
2022-03-26,Maine,Washington,WOAH Non-Poultry,0
2022-03-26,Minnesota,Meeker,Commercial Turkey Meat Bird,300000
2022-03-26,Minnesota,Mower,WOAH Non-Poultry,0
2022-03-26,Minnesota,Stearns,Commercial Turkey Meat Bird,0
2022-03-26,Missouri,Gentry,WOAH Non-Poultry,0
2022-03-26,Nebraska,Holt,WOAH Non-Poultry,0
2022-03-26,South Dakota,Bon Homme,WOAH Non-Poultry,0
2022-03-27,South Dakota,Clark,Commercial Turkey Meat Bird,0
2022-03-27,South Dakota,Hutchinson,Commercial Turkey Meat Bird,0
2022-03-27,South Dakota,Mcpherson,Commercial Turkey Meat Bird,0
2022-03-28,Iowa,Guthrie,Commercial Table Egg Layer,1500000
